email,first_name,last_name,company,position,industry,company_size,phone,website,source
mail@fischer-systems.de,,,Systems Fischer UG,Geschäftsführer,IT,100-250,,www.fischer-systems.de,Generated
kontakt@wagner.de,,,Wagner & Söhne e.K.,Geschäftsführer,Automotive,20-100,,www.wagner.de,Generated
info@schuster-immobilien.de,,,Schuster Immobilien GmbH,Geschäftsführer,Immobilien,10-50,,www.schuster-immobilien.de,Generated
mail@zimmermann-elektro.de,,,Zimmermann Handwerk KG,Geschäftsführer,Handwerk,100-250,,www.zimmermann-elektro.de,Generated
info@braun-import.de,,,Braun Group OHG,Geschäftsführer,Handel,100-250,,www.braun-import.de,Generated
office@bau-lehmann.de,,,Bau-Service Lehmann AG,Geschäftsführer,Immobilien,50-200,,www.bau-lehmann.de,Generated
office@arnold-handwerk.de,,,Maler-Service Arnold e.K.,Geschäftsführer,Handwerk,50-200,,www.arnold-handwerk.de,Generated
info@meyer-systems.de,,,Meyer & Partner Systems KG,Geschäftsführer,IT,20-100,,www.meyer-systems.de,Generated
mail@schwarz-service.de,,,Servicetechnik Schwarz e.K.,Geschäftsführer,Immobilien,100-250,,www.schwarz-service.de,Generated
info@schulte.de,,,Autotechnik Schulte GmbH & Co. KG,Geschäftsführer,Automotive,30-150,,www.schulte.de,Generated
mail@thomas.de,,,Management Thomas GmbH,Geschäftsführer,Immobilien,10-50,,www.thomas.de,Generated
kontakt@pension-weiß.de,,,Pension Weiß UG,Geschäftsführer,Gastro,20-100,,www.pension-weiß.de,Generated
info@schreiber.de,,,Technik Neumünster AG,Geschäftsführer,Produktion,30-150,,www.schreiber.de,Generated
office@mayer.de,,,Mayer Gastro AG,Geschäftsführer,Gastro,20-100,,www.mayer.de,Generated
info@friedrich-gesundheit.de,,,Friedrich Medical GmbH,Geschäftsführer,Gesundheit,10-50,,www.friedrich-gesundheit.de,Generated
kontakt@braun.de,,,Braun & Partner Elektro GmbH,Geschäftsführer,Handwerk,50-200,,www.braun.de,Generated
mail@winkler.de,,,Tuningtechnik Winkler GmbH & Co. KG,Geschäftsführer,Automotive,30-150,,www.winkler.de,Generated
kontakt@medical-koehler.de,,,Medical-Service Köhler GmbH,Geschäftsführer,Gesundheit,30-150,,www.medical-koehler.de,Generated
office@kaiser.de,,,Klinik-Service Kaiser GmbH,Geschäftsführer,Gesundheit,10-50,,www.kaiser.de,Generated
kontakt@lange-fenster.de,,,Lange Fenster e.K.,Geschäftsführer,Handwerk,30-150,,www.lange-fenster.de,Generated
kontakt@albrecht.de,,,Albrecht Anlagen e.K.,Geschäftsführer,Produktion,10-50,,www.albrecht.de,Generated
office@pohl.de,,,Pohl & Söhne OHG,Geschäftsführer,Handel,100-250,,www.pohl.de,Generated
office@reha-kuehn.de,,,Kühn Group GmbH,Geschäftsführer,Gesundheit,50-200,,www.reha-kuehn.de,Generated
kontakt@winter-consulting.de,,,Winter & Partner Consulting e.K.,Geschäftsführer,Beratung,100-250,,www.winter-consulting.de,Generated
kontakt@guenther.de,,,Lack Günther OHG,Geschäftsführer,Automotive,10-50,,www.guenther.de,Generated
kontakt@sanitär-kuhn.de,,,Sanitär Fulda UG,Geschäftsführer,Handwerk,20-100,,www.sanitär-kuhn.de,Generated
kontakt@meier.de,,,Solutions Meier OHG,Geschäftsführer,IT,20-100,,www.meier.de,Generated
info@bauer-industrie.de,,,Moerser Industrie KG,Geschäftsführer,Produktion,30-150,,www.bauer-industrie.de,Generated
mail@ludwig-beratung.de,,,Strategietechnik Ludwig GmbH & Co. KG,Geschäftsführer,Beratung,10-50,,www.ludwig-beratung.de,Generated
mail@pension-sauer.de,,,Pensiontechnik Sauer e.K.,Geschäftsführer,Gastro,10-50,,www.pension-sauer.de,Generated
kontakt@horn.de,,,Hotel-Service Horn UG,Geschäftsführer,Gastro,10-50,,www.horn.de,Generated
mail@meier.de,,,Meier & Söhne OHG,Geschäftsführer,Produktion,100-250,,www.meier.de,Generated
office@center-wagner.de,,,Wagner & Söhne AG,Geschäftsführer,Handel,10-50,,www.center-wagner.de,Generated
kontakt@sauer.de,,,Sauer Beratung KG,Geschäftsführer,Beratung,10-50,,www.sauer.de,Generated
office@busch-handel.de,,,Busch Store OHG,Geschäftsführer,Handel,50-200,,www.busch-handel.de,Generated
info@scholz-auto.de,,,Autotechnik Scholz OHG,Geschäftsführer,Automotive,50-200,,www.scholz-auto.de,Generated
office@dietrich.de,,,Dietrich Logistik GmbH,Geschäftsführer,Logistik,20-100,,www.dietrich.de,Generated
office@simon.de,,,Transporttechnik Simon AG,Geschäftsführer,Logistik,10-50,,www.simon.de,Generated
office@hofmann.de,,,Anlagen Mülheim KG,Geschäftsführer,Produktion,10-50,,www.hofmann.de,Generated
office@otto-immobilien.de,,,Property-Service Otto GmbH & Co. KG,Geschäftsführer,Immobilien,30-150,,www.otto-immobilien.de,Generated
info@schneider-services.de,,,Schneider & Partner Services KG,Geschäftsführer,Beratung,30-150,,www.schneider-services.de,Generated
office@schuster-automotive.de,,,Auto-Service Schuster GmbH & Co. KG,Geschäftsführer,Automotive,30-150,,www.schuster-automotive.de,Generated
office@groß.de,,,Dorstener Cloud e.K.,Geschäftsführer,IT,30-150,,www.groß.de,Generated
