first_name,last_name,position,company,industry,company_size,linkedin_url,email
Michael,Stoschek,Geschäftsführer,Brose Gruppe,Automobil-Zulieferer,50-200,https://linkedin.com,
Stefan,Fuchs,CEO,Fuchs Petrolub,Schmierstoffe,50-200,https://linkedin.com,
Peter,Leibinger,CEO,TRUMPF,Maschinenbau,50-200,https://linkedin.com,
Nicola,Leibinger-Kammüller,Vorsitzende,TRUMPF,Maschinenbau,50-200,https://linkedin.com,
Martin,Herrenknecht,Gründer,Herrenknecht AG,Tunnelbau,50-200,https://linkedin.com,
Michael,Klos,CEO,Klöckner & Co,Stahlhandel,50-200,https://linkedin.com,
Thomas,Schulz,CEO,FTE automotive,Automobil-Zulieferer,10-50,https://linkedin.com,
Andreas,Schmid,Geschäftsführer,Schmid Group,Maschinenbau,10-50,https://linkedin.com,
Klaus,Fischer,Inhaber,Fischer Group,Befestigungstechnik,50-200,https://linkedin.com,
Wolfgang,Grenke,Gründer,Grenke AG,Leasing,50-200,https://linkedin.com,
Friedhelm,Loh,Inhaber,Friedhelm Loh Group,Schaltschränke,50-200,https://linkedin.com,
Stefan,Vilsmeier,CEO,Brainlab AG,Medizintechnik,50-200,https://linkedin.com,
Karl-Thomas,Neumann,CEO,Cellcentric,Brennstoffzellen,10-50,https://linkedin.com,
Ralph,Dommermuth,CEO,United Internet,Internet,50-200,https://linkedin.com,
Rainer,Hundsdörfer,CEO,Heidelberger Druckmaschinen,Druckmaschinen,50-200,https://linkedin.com,
