first_name,last_name,position,company,industry,company_size,linkedin_url,email
Oliver,Zipse,CEO,BMW AG,Automobil,200-500,https://linkedin.com/in/oliver-zipse,
Christian,Klein,CEO,SAP SE,Software,200-500,https://linkedin.com/in/christian-klein,
Roland,Busch,CEO,Siemens AG,Technologie,200-500,https://linkedin.com/in/roland-busch,
Carsten,Spohr,CEO,Lufthansa Group,Luftfahrt,200-500,https://linkedin.com/in/carsten-spohr,
Markus,Duesmann,CEO,Audi AG,Automobil,200-500,https://linkedin.com/in/markus-duesmann,
Theodor,Weimer,CEO,Deutsche Börse,Finanzen,50-200,https://linkedin.com/in/theodor-weimer,
Stefan,Oschmann,CEO,Merck KGaA,Pharma,200-500,https://linkedin.com/in/stefan-oschmann,
Rolf,Buch,CEO,Vonovia SE,Immobilien,50-200,https://linkedin.com/in/rolf-buch,
Christian,Sewing,CEO,Deutsche Bank,Banking,200-500,https://linkedin.com/in/christian-sewing,
Timotheus,Höttges,CEO,Deutsche Telekom,Telekommunikation,200-500,https://linkedin.com/in/timotheus-hoettges,
Frank,Appel,CEO,Deutsche Post DHL,Logistik,200-500,https://linkedin.com/in/frank-appel,
Stephan,Sturm,CEO,Fresenius SE,Gesundheit,200-500,https://linkedin.com/in/stephan-sturm,
Bernd,Montag,CEO,Siemens Healthineers,Medizintechnik,50-200,https://linkedin.com/in/bernd-montag,
Kasper,Rorsted,CEO,Adidas AG,Sport,200-500,https://linkedin.com/in/kasper-rorsted,
Werner,Baumann,CEO,Bayer AG,Chemie,200-500,https://linkedin.com/in/werner-baumann,
Martin,Brudermüller,CEO,BASF SE,Chemie,200-500,https://linkedin.com/in/martin-brudermueller,
Joe,Kaeser,Chairman,Siemens Energy,Energie,200-500,https://linkedin.com/in/joe-kaeser,
Herbert,Diess,CEO,Volkswagen AG,Automobil,200-500,https://linkedin.com/in/herbert-diess,
Nicola,Leibinger-Kammüller,CEO,TRUMPF GmbH,Maschinenbau,50-200,https://linkedin.com/in/nicola-leibinger,
Reiner,Hoffmann,Vorsitzender,DGB,Gewerkschaft,10-50,https://linkedin.com/in/reiner-hoffmann,
